,processed_review,RegistrationIssues,Notification Issues,Slack Desktop/Mobile App Issues,Interface Issues
0,Literally impossible to log in You can only log in via Magic Links in which you must have access to the email on the same device I can not access my work email on an external device for security reasons and verifying my email on another device will still not allow my mobile device to sign in In response to developer comment: No there is no option to log in with email/password Clicking log in manually ONLY provides a field for Workspace URL which always fails and says not valid,0.006772046,0.00678288,0.006738881,0.979706193
1,Notifications are utterly terrible especially if youre ever using the app on more than one platform I understand that theyre trying to monitize but the history limit makes the usability of this for anything important a joke Speaking of money considering that you can get Teams for free what they want for paid accounts is ridiculous The app on most platforms has massive overhead and barely works how do you not have gif integration but you can completely redo the graphics every 3 months,0.007639521,0.007706204,0.976854072,0.007800204
2,Unable to login using Google SSO Have reset app cache data cache reinstalled restarted Logo just freezes while trying to auth An app force quit and restart produces a forever bouncing slack logo on the next attempt,0.506315657,0.010117278,0.23853405,0.245033016
3,Constantly freezes and stops Wont let you type messages Keeps sending self to home screen Wont let you update status  you can push the button 50 times with no result Desktop app is fine Mobile simply nonfunctional,0.364379942,0.009721546,0.268301403,0.357597109
4,Setting status to active seems to have no effect in mobile app status and perhaps others also do not see me as active as a result Changing status to active in desktop edition does not propagate to mobile app,0.016447724,0.015810154,0.952590736,0.015151386
5,If the app was working correctly it would be a success because I just love all the features it offers but my desktop version keeps freezing and not working Hopefully they can fix and improve the app because it is worth it,0.013660908,0.013667133,0.958744995,0.013926964
6,It was working well and then it stopped Now I cant see the same channels on my phone that are on my laptop and this is after I uninstalled and then reinstalled it,0.032656573,0.032304488,0.900354936,0.034684002
7,If you are removed from a server then try to access it the app will always display invalid authentication You cannot go back to any other servers youre in Closing the app will not reset this,0.733441649,0.227806441,0.019326311,0.019425599
8,We have been using an archaic listserv app and it is getting quite noisy This is a refreshing change,0.038255737,0.883750543,0.038691217,0.039302503
9,Ever since the latest Android update I am unable to post anything in slack It allows me to write what I want to post but when I try to post it it does nothing Im highly frustrated,0.01589283,0.01561725,0.952522885,0.015967035
10,I cant log in After entering my login info it takes me back to the main screen which asks me sign in manually again Please fix,0.023274665,0.023367465,0.024078906,0.929278965
11,Returning to the app from the launcher icon starts it from scratch It should simply resume it as any app does same how it resumes from Recents menu Pixel 5 android 12,0.933425341,0.021575851,0.022606126,0.022392682
12,Not suitable for Android users I cant even log in to Slack using this mobile app and have been trying for the past three months now to no avail Every time I try to log in I get taken to my phone settings with no instructional messages or prompts So I have no idea what Im supposed to be doing in my settings to get it to work Please do better If we sign in via desktop the mobile process should be seamlessbut it isntterrible,0.008716738,0.008556961,0.00878201,0.973944291
13,I have a real problem getting alerts on my phone with this app The alerts are on but sometimes I get them anywhere from a few hours late to a few days late then the alert doesnt always clear after viewing so it looks like I have alerts that I dont have This is problematic because I use this for work and its the primary way my work contacts me as we are decentralized Please help,0.010107855,0.010473335,0.009645581,0.969773228
14,This app is little more than a read/reply version of the desktop version There are no options for customization sorting deleting channels/threads etc Unread channels conveniently move to the top of the stack so you need to scroll all over the place to find a channel If I didnt need to stay connected to work conversations if delete immediately,0.533071491,0.447285787,0.009845607,0.009797114
15,This app has a good bit of features that are nice Like theme personalization and having a personal thread for quick notes It also syncs settings instantly between devices However its a battery hog when open and in the background Huddles are nearly useless on my Duo When I open a thread the prompt to join a huddle often crashes the whole app And when someone stops a screen share in a huddle it crashes Contacted support  Im not hopeful despite them being very kind,0.006783858,0.006838992,0.00667728,0.97969987
16,I feel like Android app recent update made organization of channels worse Just one flat group of everything  where are the custom sections and ways to organize In an enterprise with hundreds of channels its useless and almost impossible to find the channels I need to monitor,0.01164172,0.964956248,0.011932816,0.011469217
17,A mess Interface is not user friendly  everything is really confusing to get a handle of  and its so *buggy*  sign in not working  screens flashing  buttons not working  etc  to bosses and teachers everywhere: for the love of the people in your group  DONT USE THIS  just make a discord server or something  same thing but less buggy and A LOT easier to use  trust me  your group will thank you ,0.008407982,0.008533515,0.974386912,0.008671591
18,Galaxy S21 / Android 12  As others have reviewed the push notifications are essentially worthless Most often the push notifications are never delivered In those rare cases they are delivered its usually hours after the post to the Slack channel Email notifications are substantially more reliable but whats the point of having email notifications enabled when push notifications are enabled Until the push notifications are fixed the Slack apps best use is opening it up to send a message Just dont expect to get a reply via push notification ps Slack Robot no I will not send an email to feedback at Slack unless you want to put me on your payroll to help troubleshoot your app,0.985944701,0.004586144,0.004699433,0.004769722
19,Hmthis is the second time Im finding my review missing Anyway issue was resolved by using the option to signin manually the email link received worked and was able to sign in with android phone Dont use the other option (sending a magic link to your email) Signin manually with your email reset password and then a magic link will be sent to your email that actually works,0.006957545,0.006749664,0.006811828,0.979480963
20,My work uses Slack Im a software developer Slack stinks of bugs and lack of professionalism They change UI and features without concern for existing user productivity deprecate OS and browser versions on a whim etc 1 You can no longer delete zoom call msgs 2 On Android replies to a thread AND channel is now a multi step process 3 On Linux it insists opening its own browser process and reopen all my default tabs with it Etc Not enough room here to list all the faults,0.404383199,0.006988027,0.006682654,0.581946119
21,Black screens in every thread Pixel 6 pro and pixel 5 We just got stuck with this BS COVID19 hit and this was our best option Obviously the app was popular with devs because you can do cool things like alert you when a sale has been made and the documentation was great The pitfalls of slack are going to be the pitfalls of our society The app is mediocre regardless,0.010680946,0.9679822,0.010834603,0.010502251
22,This app has a lot of potential however its inconsistent and therefore problematic For example the status update sometimes fails to save despite user feedback that it does Often its also not possible to access and respond to messages that are in thread,0.436737933,0.013583672,0.013747853,0.535930543
23,The fact that I am forced to download the desktop version in order to make changes to the mobile version is absolutely ridiculous My notification setting is always changing itself to pause for seemingly no reason at all I constantly have to change it back to giving me notifications,0.011841476,0.838608048,0.012024717,0.137525759
24,Why you changed the left sidebar (list of channels and conversations) BG colors on mobile app Im having very different expirience on mobile than on desktop now hard to immediately understand what is going on if Im constantly switching between mobile and desktop slack apps This is very strange move It is not fixable by enabling the dark mode as I want to have the same set of colors on mobile app as on desktop app for the same app areas as on desktop while not in dark mode,0.378491075,0.396627815,0.006596874,0.218284236
25,Just received a link to join app for work purposes Its terrible I cant even sign up It gives me an error message with all/any email I use I cant even sign up with the workspace URL,0.014630063,0.014222283,0.014402011,0.956745643
26,They destroyed the interface with this last update I have no desire to use the mobile app anymore it is no longer convient Bring back the old UI Edit: Still liked the old interface better but gotten used to the new one Still get the occasional bug but overall fine,0.011248408,0.965864376,0.011560702,0.011326515
27,UPDATE: very strange that i cannot edit my own review in here but i solved my issue After i made the Google account Default (the one i need to use to sign into Slack workspace) i logged out from all the workspaces deleted the cache reinstalled the app and it works now I was able to login into the workspace that i need to use I dont know if its a Google thing or Slack but this needs to be solved I shouldnt need to go through Security Settings in order just to login into a Slack,0.006274606,0.0062738,0.006198248,0.981253345
28,The app works well in tablet mode on a chromebook However there are issues when trying to navigate the map when in computer mode on my chromebook,0.021567508,0.108399273,0.021608238,0.848424981
29,Love Slack  generally speaking it gets 4 stars But this 2 star review is for whatever change they made to the app since I last updated umpteen months ago: I lost the ability to make channel shortcuts on my homescreen HUGE THUMBS DOWN,0.013235621,0.013454744,0.960151469,0.013158166
30,Cant remove or sign out of workspaces Dont use the mobile app If you have to use slack stick with a browser This is a bug theyve known about for a long time and will likely never fix,0.014624786,0.014657648,0.014787951,0.955929615
31,The copy link doesnt actually copy the link Most of the stuff people share on slack I want to either open on a different device or in Incognito so I need to be able to copy it from my Android Now I have to do copy text and delete whatever their commentary was on the link I wish that slack updates didnt break the app so often and I wish theyd fix it faster when things like this do happen Due to the amount of bugs they should really streamline reporting them too,0.006881735,0.465579268,0.007301747,0.52023725
32,Is there even development done on mobile app for slack Videos never get played when uploading a video from phone it take insane amount of time Same video on Google drive in few seconds Whats the point of having an attachment option if we just have to share Google drive like ,0.794140422,0.010933784,0.011065333,0.183860461
33,Mobile notifications are garbage and have been for the past 3 years Sigh Cant find a reliable way to get notifications on my samsung phone/watch,0.496273756,0.0201145,0.020419366,0.463192378
34,Its ok I suppose I only use it because my employer doesnt seem to realize we really dont need another message app especially one thats not even end to end encrypted,0.019461498,0.019201395,0.942586533,0.018750574
35,It needs to break down how channels can be minimal even being used through company work its very confusing for me and I have ADHD I get really confused because its so scattered Im still learning its new for me,0.019016384,0.944053357,0.018555725,0.018374534
36,Still unable to change profile picture with new update which is the only reason I got the mobile app Unsure why it was taken off,0.025059902,0.930685689,0.022192436,0.022061973
37,App constantly crashes when being in a huddle with Bluetooth headphones Maybe fix this,0.031818073,0.032271354,0.902885532,0.033025042
38,No option for unread messages making the app just garbage the most important question is WHY If this option available on desktop,0.934592381,0.021835949,0.022099514,0.021472156
39,An awful glitchy frustrating experience I wish every conceivable misfortune befalls its developers,0.886386141,0.037494245,0.03864921,0.037470403
40,Log in problems no customer support terrible interface huge disappointment,0.031797023,0.220609433,0.033258782,0.714334761
41,why cant i use mark up on mobile you think its easier to use the smart formatting menu on mobile Have you tried using any mark up on mobile at all you broke triple quotes () do you guys use slack yourselves or does some 23 year old designer call all the shots with no testing,0.010632623,0.010504457,0.967797278,0.011065643
42,Cannot change time zone even though theres a setting listed that would seem to allow this On mobile sometimes has problems marking channels as read even after closing app opening channel scrolling to end and up and reopening channels panel No edit history on shared editable text snippets,0.010783561,0.968269953,0.010576818,0.010369668
43,Please use the update descriptions for actual information Edit: yes I mean the release notes What does this mean: What’s New • No news is good news Well some news can also be good news or no news could perhaps lead to uncertainty and speculation on par with bad news but in this case our absence of news is a good thing Or at least not a bad thing No news is just fine Carry on,0.008083113,0.008186984,0.008574804,0.975155098
44,Its okay However I frequently have new messages notifications but these messages do not show up in the app The app will highlight the channels with unread messages but visiting these channels only shows the old messages Nothing helps to solve the issue: killing the app restarting the phone clearing the cache The only way is to either go to the desktop app or wait for another message to be sent in that channel and hope that it will solve the issue This is very frustrating,0.978358459,0.007134156,0.007245884,0.007261501
45,This app has caused me so much work stress Issues: No phone call notifications on Googles WearOS smart watch * when you get a call and pick it up on desktop it is marked as missed on your phone and leaves a ghost window * the connection quality is so bad compared to dedicated phone calls voice drops in and out comes through laggy * background noise is terrible over voice Definitely worse than a standard work call So bad that people cant understand others and complain about he noise * sometimes calls dont wake my phone at all yet a regular phone call can all the time * the app is slow and bloated feeling just like the desktop version (which is really pretty good tbh) Sure I cant blame this all on slack it is in some ways a hardware and OS issue But theyve set the expectation and they should still know the pain Feature requests: * record calls client side (for privacy) automatically so I can play then back (autodelete after N time unless otherwise specified by the user) ** automatically record calls I was invited to but was not able to answer persons currently in the call should know that such a feature is enabled however * phone call notifications on WearOS * Show your online status of any desktop instance from your phone,0.00292312,0.00287776,0.0029697,0.99122942
46,Ill change this after they either get back to me or fix this Android  my new message notifications wont go away as if I havent seen them and I can no longer view older messages from those same people I also go on a channel and itll say 10+ new messages and theyre not new Ive seen them but the notification keeps sending me way up the channel for no reason No updates to fix these bugs,0.007423042,0.007432155,0.78424391,0.200900893
47,Startup on demand needed I dont want to be on call 24/7 and I dont want this app to run all day long and only when I need it to I want the ability to sign on to the app without individually connecting to channels I use,0.013073536,0.013194958,0.95983228,0.013899226
48,So close This is a great platform for communication but the mobile notifications are appalling They are either nonexistent or are sent after a long period of time This has been brought up by others for a while now and hasnt been delt with It does me and Im sure others no good at all if we cant communicate in a timely fashion With the competition of other similar platforms being so fierce you folks REALLY need to put on your boots and deal with this Fix this and its 5 stars,0.009427997,0.00952902,0.971459135,0.009583848
49,This app has gotten worse over the past few weeks It used to be pretty smooth Now the screen jumps around constantly It notifies way too much every pic upload interrupts what you are doing with a big ugly popup This is not needed It makes the screen jump and pulls you off of text or what you have moved on to The way it saves and uploads pics is so out dated 1 pic a time I have to use my own camera app and transfer yhem over in groups It is a very sloppy app HAVE TO USE FOR WORK,0.00693441,0.348292274,0.637897872,0.006875445
50,I use Slack daily for school and Ive loved it for over a year now But lately (in the last week or two) I will open the app and instantly get signed out of a workspace with the error Invalid Authentication I have to sign back in and then it will happen again in another 5 or 10 mins Its becoming unusable at this point,0.010750027,0.16711508,0.404444146,0.417690746
51,Im so irritated I have sections created to make it easy to find my channels for certain things They are pointless 2 of my sections are duplicated in a long list (but they are not shown together) So seemingly random channels are in one of two different sections that have the same section name This is not so on desktop  just mobile,0.011765497,0.965154974,0.0117475,0.011332029
52,All of a sudden Ive been kicked out of the app for invalid authentification 5 times in the last 15 mins or so Could barely finish typing out a message Have had the app for at least 2 years now and never had a problem before now Hoping this will be resolved soon because it is also affecting my notifications today,0.012577249,0.960569981,0.013311862,0.013540907
53,When this app stops functioning properly (thankfully not too often) I realized how much I depend on it for communicating with my coworkers While theres always room for improvement this is by far the best messaging app out there Ive used Discord G Chat and Teams but none of them compare,0.012655015,0.962417552,0.012461957,0.012465476
54,This app is great in concept I have lots of issues with not getting notifications or getting them inconsistently however this is something I have worked past the current issue is since the most recent update I continue to get logged out randomly while on the app with a invalid authentication error message this is absolutely frustrating while Im responding to urgent work concerns,0.009237106,0.417417514,0.253210925,0.320134454
55,IT IS COMPLETELY UNUSABLE NOW A) Keyboard keeps closing or triggering different UI reactions after a second so its almost impossible to type anything of value B) Any context switch or another UI pops up you lose all your text in the current input box You have to go to the draft window to find them What was Salesforces point for purchasing Slack then killing it with poor enhancements Roll back all your changes The system was working better before Salesforce,0.008612822,0.008578509,0.008501694,0.974306975
56,Used to be great but crashes frequently now and needs to be restarted constantly (latest version of app and Android) Uploads fail notifications are spotty at best and generally more frustrating to use overall This is all on dedicated wifi so definitely the app thats the problem Slack started out great but are slacking in their success  will be happy to change this to 5 star if bugs are addressed,0.007036206,0.007087336,0.978731617,0.007144841
57,Its Slack This should be a 5 star app Know why it isnt You cannot SELECT AND COPY TEXT in messages WHYYYYYYYYYYYYYYYYYYYYYYYYYYYY Edit  thanks for the reply I know I can copy the entire message This is frustratingly useless when you want to copy a word or phrase or number from a blob of text Like when you are in the midst of a production/ops problem and are collaborating with other fix agents on a critical issue Guys Please this is really inexcusable,0.008887892,0.612800786,0.008868286,0.369443036
58,App is quite detailed have to put your mind to work when using not real easy to setup the business aspect is well informative however model structure is some what confusioning Good app for a the leaning of a bussiness account to control every direction in which your core people are well informed also keeps management on the progress of the project and each task that is performed,0.692169473,0.011331668,0.011711899,0.284786961
59,Utterly terrible app for 2 critical reasons 1) Single sign on you have multiple accounts to manage for each group dealing with that across devices is very painful 2) notifications fail regularly I waste many hours debugging slack notifications and the issue had persisted across devices,0.011294041,0.010809442,0.011258787,0.96663773
60,The app will not let me sign in It keeps telling me that I have a wrong email address or password but when I sign in on my browser using the exact same email and password it works just fine This has been incredibly inconvenient,0.012849006,0.012739688,0.012809044,0.961602263
61,My Slack stopped working after update on 9/22/21 Android 711 So sad Cant even open messages I need it at my federal job so I can leave my desktop Was hoping I could see through my phones web browser but nope Now I have to rush shop a new phone Slack support staff was very quick  polite with my emails I think Slack should poll their members to ask what phones they use before pulling the plug My phone is only about 4 years old and works fine for most popular apps,0.006664214,0.006711184,0.488271772,0.49835283
62,App keeps booting me from calls on my Pixel 6 There would be times where I managed to stay on the call for about a minute then I would get booted For most of the time it boots from the call almost instantly This doesnt happen on the desktop client,0.016079392,0.016276095,0.950672168,0.016972345
63,Sitting here with wifi and the app has completely crapped out on me and now I cant get back in to any chat that I was part of It just says slack is offline and try again later Done this for 2 days now and cant do my job without it,0.020200203,0.019742751,0.939360074,0.020696972
64,Pretty subpar experience compared to desktop I have to manually clear the cache multiple times a day to see new messages and lately Ive been getting logged out randomly when Im typing a message due to invalid authentication,0.011478403,0.621375265,0.01175356,0.355392772
65,I have recently been facing too many issues with slack Messages do not pop up And the most recent issue is that slack is not connecting to my mobile network due to which it shows me as offline and i am unable to send or receive messages over slack,0.252680932,0.013280119,0.720732665,0.013306284
66,It used to save drafts of messages if you navigate away for a second and now it clears out the entire message not only when navigating away but also if you pull down a notification Please fix,0.016650588,0.69801409,0.016591959,0.268743363
67,Cant setup on Pixel 6 When I choose to email a magic link and select my rooms to join and click next on my phone it just crashes EDIT: Ended up having to sign in separately and not use the magic links Once I got beyond that the app works properly again The magic link portion doesnt work though at least on the Pixel 6,0.0083179,0.008287766,0.008398584,0.97499575
68,Worked great until today Samsung Note 10+ Android 11 Unable to send messages Can receive Reinstalled App unable to log in to usual workspace Unable to send email to log in Unable to use app to report issue Edit: back to normal after major outage,0.975181194,0.008014275,0.008131715,0.008672817
69,It used to drop calls around 12 times per use Now I cant take myself of Do Not Disturb which has made the app entirely unusable This is happening on my older model Android and also on my friends new iPhone Negative stars,0.014233103,0.013674408,0.958454622,0.013637866
70,Doesnt work properly I never get notifications can not view pinned messages (I was added to slack by a company I just started working for) and it constantly logs me out which contributes to missed notifications,0.955028871,0.015045303,0.015158581,0.014767245
71,Just recently switched to a Pixel 6 and I cant connect videos or audio calls Ive seen some people complaining about it as well so I expected that to happen Everything else works great though,0.016563633,0.016123099,0.950388279,0.016924988
72,Accidentally signed out of one slack (because its too easy to do on mobile) Couldnt log back into that slack because it would not take sms and ate a backup code Now the app wont open at all and just goes to the app download website instead,0.014903355,0.013575786,0.013909298,0.957611561
